Iceland,383.741,4.057.842,4.152.033,4.415.945,4.475.226,4.447.226,4.425.218,453.892,4.721.272,4.772.761,4.975.857,5.111.637,5.579.526,6.274.405,7.183.988,7.677.885,8.027.066,8.409.572,849.341.934,8.620.090.124,8.681.113.927,9.924.843.022,1.197.573.897,1.646.775.184,1.683.536.166,1.705.909.336,1.721.041.341,1.754.890.836,1.811.609.902,1.812.220.518,1.879.857.039,1.854.876.846,1.923.853.315,19.828.868,1.961.844.231,-0.010612088,0.018747042,0.000726484
Ireland,12.088,12.652,13.064,13.228,13.833,1.450.060.964,1.513.572.394,1.599.887.928,1.638.194.822,170.880.753,1.784.221.102,191.584.479,1.995.659.154,2.115.480.718,220.139.618,2.398.231.604,2.496.049.208,251.995.351,252.395.423,2.559.760.674,2.598.322.814,2.750.440.028,2.873.812.197,3.026.241.785,2.835.156.571,2.868.856.655,2.747.822.435,276.048.321,2.614.668.559,2.631.870.485,2.838.863.708,30.418,30.870.413,31.133.786,3.072.044.479,-0.013276291,0.002842732,0.001137598
Italy,185.74,192.33,201.372,203.561,210.75,216.891,222.041,226.243,222.788,231.803,241.48,244.491,251.462,259.761,265.657,276.629,278.995,284.401,293.865,303.321,303.672,3.140.903,313.9,319.13,292.642,3.020.622,3.025.699,2.992.759,2.898.032,2.798.285,282.994,2.897.682,295.83,2.897.084,283.846,-0.02023552,-0.009625737,0.010511
Latvia,4.961,5.184,5.937,5.11,5.801,6.648,5.644,3.834,3.924,4.44,3.979,3.126,4.506,5.797,4.11,4.136,4.28,3.975,3.975,4.689,4.906,4.891,4.771,5.274,5.569,6.627,6.094,6.167,6.209,5.141,5.533,6.425,7.531.189,6.724.875,6.391.735.026,-0.049538463,0.024600136,0.00023669
Lithuania,20.962,22.416,22.755,26,29.158,28.405,29.363,18.707,14.105,9.998,13.84,16.789,14.861,17.63,13.535,11.425,14.737,17.721,19.488,19.274,147.843,124.819,14.007,14.01,153.576,57.486,48.216,50.424,47.615,43.969,49.329,42.657,41.872,32.794,3.725.718.982,0.136097756,-0.135160284,0.000137966
Luxembourg,0.939045,1.020.386,1.036.332,1.333.588,1.380.315,1.377,1.415,1.198,1.067,1.147,1.23,1.256,1.26,1.295.517,1.022.008,1.166.291,1.621.117,3.698.743,3.621.422,413.215,4.129.123,4.333.512,4.001.358,3.557.091,3.878.379,4.591.276,3.716.293,3.816.973,2.889.128,2.964.981,276.608,219.758,2.235.068,2.200.918,1.862.920.965,-0.153570935,-0.046872745,6.90E+00
Netherlands,62.975,67.17,68.448,69.654,73.081,71.892,74.282,77.231,76.992,79.677,81.063,85.234,86.659,92.006.273,87.617.304,90.180.577,94.072.426,95.082.892,98.140.305,102.144.798,10.076.871,98.834.621,105.164.161,108.202.778,113.502.778,118.138.889,112.965.935,102.505.526,100.875.336,103.417.851,110.086.512,115.170.275,117.260.034,114.468.322,12.103.923,0.057403724,0.005644981,0.004482161
North Macedonia,n/a,n/a,n/a,n/a,n/a,5.758,5.77,6.065,5.18,5.939,6.132,6.641,6.733,7.048,6.863,6.811,6.362,6.091,6.738,6.667,6.942,7.006,6.498,6.311,6.828,7.26,6.759,6.262,6.094.071,5.373.693,5.646.144,5.629.506,5.600.216,560.717,5.869.768,0.046832538,-0.011755162,0.000217361
Norway,103.292,97.284,104.283,110.02,119.197,121.848,111.009,117.506,120.095,113.488,123.193,104.755,111.636,116.983,122.66,142.984,121.92,130.6,107.274,110.602.171,138.072.621,121.4,137.164,142.109,131.773,123.63,127.632,147.716,133.975,141.967,144.511,148.989,149.402,147.057,1.348.290.229,-0.083151276,0.003428454,0.004992806
Poland,137.714,140.294,145.833,144.34,145.464,136.311,134.714,132.75,133.867,135.347,139.006,143.173,142.79,142.789,142.128,145.184,145.616,144.126,151.631,154.159,156.936,161.742,159.348,1.553.054,151.72,157.658,163.548,162.139,164.557,159.058,164.944,166.634,170.465,170.039,163.884,-0.036197578,0.009104629,0.00606873
