Morocco,0,0,0,0,6.7,7,7.7,8.4,9.1,10,10.8,11.945,12.845,13.445,33.545,34.174,35.174,35.174,39.6,199.8,201.87,205.456,735.457,735.645,0.000255623,0.498933334,0.001254465
South Africa,0,2,4,6,0,0,0,0,0,0,0,0,0,0,1.959,5.658,11.303,261.625,1.162.901,1.351.656,2.174.026,2.486.396,2.958.766,3.060.692,0.034448821,---,0.005219272
Other Africa,1.012.425.219,1.037.275.656,1.062.126.093,2.099.401.749,4.189,5.591,7.005,9.081,12.236,15.078,20.115,28.471,39.856,49.874,74.041,100.325,150.208,209.17,287.925,385.543,514.315,745.943,1.054.881,1.324.058,0.255172858,0.387621359,0.002257861
Total Africa,1.012.425.219,3.037.275.656,5.062.126.093,8.099.401.749,10.989,13.091,15.305,18.081,21.936,25.678,31.515,41.116,53.601,64.619,149.545,200.157,256.685,565.969,1.551.526,2.056.099,3.202.311,4.051.795,5.968.104,7.236.395,0.212511545,0.602014155,0.012339925
Australia,16,19,23,25,25,29,34,39.4,46.4,52.4,61.4,73,85,332,1091,2473,3799,4568,5287,5946,6689,7354,11305,15930,0.409111013,0.630741652,0.027164771
China,1,2.5,5,10,33.515,38.02,56.53,66.6,76.6,141.2,160.2,199,253,414.8,1021.8,3107.8,6718.8,17758.8,28398.8,43548.8,77808.8,130822.29,175.236.864,205.493.165,0.172659453,0.923315339,0.350419005
India,0,0,0,0,0,1.1,5.5,6.7,7.9,7.8,11.6,9.6,25.1,27.7,39.4,65.4,565.8,926,3.672.508,5.593.484,9.879.021,18.151.756,27.355.324,35.059.884,0.281647551,1.012.504.287,0.059786172
Japan,60,91,133,209,330,453,637,860,1132,1421,1700,1909,2131,2611,3599,4890,6430,12107,19334,28615,38438,44226,55500,61840,0.114234234,0.385386506,0.105453197
Malaysia,0,0,0,0,0,0,0,0,0,0,0,0.45,0.54,0.54,0.544,0.544,25.104,97.124,165.778,229.095,278.798,370.068,536.015,882.015,0.645504324,0.993784973,0.001504064
Pakistan,0,0,0,0,0,0,0,0,0,0,0,0.14,1.1,3.7,9.325,18.632,45.705,100.51,165.245,229.994,545.587,1.018.481,1.168.891,1.328.891,0.136881882,1.007.419.474,0.002266103
Philippines,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,23.027,165.667,775.36,897.075,897.356,922.356,0.027859623,0.973769697,0.001572856
South Korea,0,0,0,0,4,5,5,6,9,14,36,81,357,524,650,730.2,1024.2,1555.2,2481.2,3615.2,4502.2,5835.2,7.129.859,10.505.102,0.473395477,0.349091085,0.017913916
Taiwan,0,0,0,0,0.1,0.2,0.3,0.5,0.6,1,1.4,2.4,5.6,9.5,22,117.9,222.5,392,620.2,842.2,1245,1767.7,2.738.116,4.149.536,0.515471222,0.85748956,0.007076032
Thailand,0,0,0,0,0,0,0,0,0,0,30.41,32.25,32.35,37,48.6,78.7,381.7,828.5,1303.5,1424.6,2451.1,2702.26,2967.44,2987.44,0.006739816,0.57126981,0.005094358
Other Asia Pacific,0,0,1,2,3.685,8.98,7.57,10.5,11.7,20.8,27.49,45.998,47.4,72.757,110.984,612.264,589.12,811.257,329.849,486.201,664.532,938.958,1.205.185,7.342.609,5.092.516.087,0.382062036,0.012521048
Total Asia Pacific,77,112.5,162,246,396.3,535.3,745.9,989.7,1285.2,1659.2,2029.5,2.353.838,2939.09,4.033.997,6.593.653,12095.44,19.802.929,39.145.391,61.781.107,90.696.241,143.277.398,214.083.788,286040.05,346.440.998,0.211162556,0.580597883,0.590771522
Total World,1.718.124.252,2.317.372.757,3.049.621.261,4.235.994.017,651.337,901.949,1.211.427,1.746.474,2.800.449,4.244.204,5.698.466,7982.16,14.371.258,22.639.044,40129.36,71.370.111,102.676.253,139.457.757,176014.69,221.987.802,295.815.654,388.550.119,488.740.956,586421.29,0.199861159,0.42284763,1
